id,path,category,width,height,states,nine_slice,accent,usage,source_docs
control.detach.normal,assets/controls/individual/detach.normal.png,window-control,18,16,normal,,blue,detach control state,01-visual-style.md;06-screen-concepts.md
control.detach.hover,assets/controls/individual/detach.hover.png,window-control,18,16,hover,,blue,detach control state,01-visual-style.md;06-screen-concepts.md
control.detach.pressed,assets/controls/individual/detach.pressed.png,window-control,18,16,pressed,,blue,detach control state,01-visual-style.md;06-screen-concepts.md
control.detach.disabled,assets/controls/individual/detach.disabled.png,window-control,18,16,disabled,,blue,detach control state,01-visual-style.md;06-screen-concepts.md
control.detach.sheet,assets/controls/sheets/detach.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,blue,detach control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.collapse.normal,assets/controls/individual/collapse.normal.png,window-control,18,16,normal,,neutral,collapse control state,01-visual-style.md;06-screen-concepts.md
control.collapse.hover,assets/controls/individual/collapse.hover.png,window-control,18,16,hover,,neutral,collapse control state,01-visual-style.md;06-screen-concepts.md
control.collapse.pressed,assets/controls/individual/collapse.pressed.png,window-control,18,16,pressed,,neutral,collapse control state,01-visual-style.md;06-screen-concepts.md
control.collapse.disabled,assets/controls/individual/collapse.disabled.png,window-control,18,16,disabled,,neutral,collapse control state,01-visual-style.md;06-screen-concepts.md
control.collapse.sheet,assets/controls/sheets/collapse.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,collapse control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.expand.normal,assets/controls/individual/expand.normal.png,window-control,18,16,normal,,neutral,expand control state,01-visual-style.md;06-screen-concepts.md
control.expand.hover,assets/controls/individual/expand.hover.png,window-control,18,16,hover,,neutral,expand control state,01-visual-style.md;06-screen-concepts.md
control.expand.pressed,assets/controls/individual/expand.pressed.png,window-control,18,16,pressed,,neutral,expand control state,01-visual-style.md;06-screen-concepts.md
control.expand.disabled,assets/controls/individual/expand.disabled.png,window-control,18,16,disabled,,neutral,expand control state,01-visual-style.md;06-screen-concepts.md
control.expand.sheet,assets/controls/sheets/expand.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,expand control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.all.sheet,assets/controls/sheets/all-controls.sheet.png,window-control-atlas,72,304,rows=controls;columns=normal|hover|pressed|disabled,,,Complete chrome control atlas,01-visual-style.md;06-screen-concepts.md
status.lamp.online,assets/status/lamp.online.png,status-lamp,12,12,online,,online,online status lamp,01-visual-style.md
status.lamp.warning,assets/status/lamp.warning.png,status-lamp,12,12,warning,,warning,warning status lamp,01-visual-style.md
status.lamp.error,assets/status/lamp.error.png,status-lamp,12,12,error,,error,error status lamp,01-visual-style.md
status.lamp.offline,assets/status/lamp.offline.png,status-lamp,12,12,offline,,offline,offline status lamp,01-visual-style.md
status.lamp.sheet,assets/status/lamp.sheet.png,status-lamp-sheet,48,12,online|warning|error|offline,,,Status lamp sprite sheet,01-visual-style.md
status.badge.pending,assets/status/badge.pending.png,status-badge,112,18,pending,,pending,pending semantic badge,15-unlocks-memos-and-system-mutations.md
status.badge.ready,assets/status/badge.ready.png,status-badge,112,18,ready,,ready,ready semantic badge,15-unlocks-memos-and-system-mutations.md
status.badge.certified,assets/status/badge.certified.png,status-badge,112,18,certified,,certified,certified semantic badge,15-unlocks-memos-and-system-mutations.md
status.badge.warning,assets/status/badge.warning.png,status-badge,112,18,warning,,warning,warning semantic badge,15-unlocks-memos-and-system-mutations.md
status.badge.error,assets/status/badge.error.png,status-badge,112,18,error,,error,error semantic badge,15-unlocks-memos-and-system-mutations.md
status.badge.locked,assets/status/badge.locked.png,status-badge,112,18,locked,,locked,locked semantic badge,15-unlocks-memos-and-system-mutations.md
status.badges.sheet,assets/status/badges.sheet.png,status-badge-sheet,112,108,pending|ready|certified|warning|error|locked,,,Semantic status badges,15-unlocks-memos-and-system-mutations.md
bar.top.full,assets/bars/topbar.full.1520x36.png,os-bar,1520,36,,"8,8,8,8",,"Canonical top system readout rail, background only",06-screen-concepts.md;KorpOsShell.css
bar.taskbar.full,assets/bars/taskbar.full.1520x38.png,os-bar,1520,38,,"8,8,8,8",,"Canonical bottom taskbar rail, background only",06-screen-concepts.md;KorpOsShell.css
bar.topbar.nine-slice,assets/bars/topbar.nine-slice.png,os-bar-nine-slice,64,36,,"8,8,8,8",,Resizable topbar rail,KorpOsShell.css
bar.taskbar.nine-slice,assets/bars/taskbar.nine-slice.png,os-bar-nine-slice,64,38,,"8,8,8,8",,Resizable taskbar rail,KorpOsShell.css
bar.start.normal,assets/bars/start.normal.png,taskbar-component,108,26,normal,,green,start taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.start.blank.normal,assets/bars/start.blank.normal.png,taskbar-component-background,108,26,normal,,green,start taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.start.hover,assets/bars/start.hover.png,taskbar-component,108,26,hover,,green,start taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.start.blank.hover,assets/bars/start.blank.hover.png,taskbar-component-background,108,26,hover,,green,start taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.start.pressed,assets/bars/start.pressed.png,taskbar-component,108,26,pressed,,green,start taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.start.blank.pressed,assets/bars/start.blank.pressed.png,taskbar-component-background,108,26,pressed,,green,start taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.start.disabled,assets/bars/start.disabled.png,taskbar-component,108,26,disabled,,green,start taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.start.blank.disabled,assets/bars/start.blank.disabled.png,taskbar-component-background,108,26,disabled,,green,start taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.start.sheet,assets/bars/start.sheet.png,taskbar-component-sheet,432,26,normal|hover|pressed|disabled,,green,start taskbar example state sheet,06-screen-concepts.md;KorpOsShell.css
bar.start.blank.sheet,assets/bars/start.blank.sheet.png,taskbar-component-background-sheet,432,26,normal|hover|pressed|disabled,,green,start blank state sheet for dynamic runtime text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.task.normal,assets/bars/task.normal.png,taskbar-component,154,26,normal,,neutral,task taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.task.blank.normal,assets/bars/task.blank.normal.png,taskbar-component-background,154,26,normal,,neutral,task taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.task.active,assets/bars/task.active.png,taskbar-component,154,26,active,,neutral,task taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.task.blank.active,assets/bars/task.blank.active.png,taskbar-component-background,154,26,active,,neutral,task taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.task.minimized,assets/bars/task.minimized.png,taskbar-component,154,26,minimized,,neutral,task taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.task.blank.minimized,assets/bars/task.blank.minimized.png,taskbar-component-background,154,26,minimized,,neutral,task taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.task.attention,assets/bars/task.attention.png,taskbar-component,154,26,attention,,neutral,task taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.task.blank.attention,assets/bars/task.blank.attention.png,taskbar-component-background,154,26,attention,,neutral,task taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.task.sheet,assets/bars/task.sheet.png,taskbar-component-sheet,616,26,normal|active|minimized|attention,,neutral,task taskbar example state sheet,06-screen-concepts.md;KorpOsShell.css
bar.task.blank.sheet,assets/bars/task.blank.sheet.png,taskbar-component-background-sheet,616,26,normal|active|minimized|attention,,neutral,task blank state sheet for dynamic runtime text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.resource.normal,assets/bars/resource.normal.png,taskbar-component,82,24,normal,,green,resource taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.resource.blank.normal,assets/bars/resource.blank.normal.png,taskbar-component-background,82,24,normal,,green,resource taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.resource.active,assets/bars/resource.active.png,taskbar-component,82,24,active,,green,resource taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.resource.blank.active,assets/bars/resource.blank.active.png,taskbar-component-background,82,24,active,,green,resource taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.resource.warning,assets/bars/resource.warning.png,taskbar-component,82,24,warning,,amber,resource taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.resource.blank.warning,assets/bars/resource.blank.warning.png,taskbar-component-background,82,24,warning,,amber,resource taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.resource.disabled,assets/bars/resource.disabled.png,taskbar-component,82,24,disabled,,green,resource taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
